dni;nombres;apellido_paterno;apellido_materno;organizacion_key;organizacion_nombre;circunscripcion_electoral;categoria_id
95354726;Carmen Rosa;Aguilar;Merino;24;PARTIDO POLÍTICO EL MAPA DE LOS SUEÑOS;UNICO NACIONAL;A
90930145;Luis Fernando;Pacheco;Guzmán;25;PARTIDO POLÍTICO EL VUELO DEL ESPÍRITU;UNICO NACIONAL;A
98752833;Benjamín Luis;Domínguez;Escobar;25;PARTIDO POLÍTICO EL VUELO DEL ESPÍRITU;UNICO NACIONAL;A
57989845;Daniel Enrique;Velasco;Franco;26;PARTIDO POLÍTICO EL LENGUAJE DEL SILENCIO;UNICO NACIONAL;A
12060174;Dora Inés;Paredes;Barrera;26;PARTIDO POLÍTICO EL LENGUAJE DEL SILENCIO;UNICO NACIONAL;A
19850225;Diana Carolina;Ponce;Benítez;27;PARTIDO POLÍTICO SUEÑOS COMPARTIDOS;UNICO NACIONAL;A
78779469;Beatriz Elena;Cárdenas;Campos;27;PARTIDO POLÍTICO SUEÑOS COMPARTIDOS;UNICO NACIONAL;A
41285987;Gonzalo Alberto;Ríos;León;28;PARTIDO POLÍTICO EL ABRAZO DE LA PAZ;UNICO NACIONAL;A
67137870;Gladys Pilar;Morales;Delgado;28;PARTIDO POLÍTICO EL ABRAZO DE LA PAZ;UNICO NACIONAL;A
79927212;Teresa Guadalupe;Luna;Villegas;29;PARTIDO POLÍTICO TODO ESTARÁ BIEN;UNICO NACIONAL;A
43569462;Magdalena Rosa;Ibarra;Castro;29;PARTIDO POLÍTICO TODO ESTARÁ BIEN;UNICO NACIONAL;A
12048890;Mauricio Andrés;Miranda;Vidal;30;PARTIDO POLÍTICO UN SOLO LATIDO;UNICO NACIONAL;A
57386726;Verónica Luz;Ochoa;Montero;30;PARTIDO POLÍTICO UN SOLO LATIDO;UNICO NACIONAL;A
87116061;Alicia Rosa;Maldonado;Andrade;31;PARTIDO POLÍTICO EL PERDÓN ES DIVINO;UNICO NACIONAL;A
22673218;Regina Patricia;García;Cardona;31;PARTIDO POLÍTICO EL PERDÓN ES DIVINO;UNICO NACIONAL;A
95913478;Lidia Mercedes;Torres;Benítez;32;PARTIDO POLÍTICO BRILLO DEL ALMA;UNICO NACIONAL;A
55758238;Juan Carlos;Domínguez;Arellano;32;PARTIDO POLÍTICO BRILLO DEL ALMA;UNICO NACIONAL;A
77869074;Óscar Eduardo;Aguilar;Muñoz;33;PARTIDO POLÍTICO EL HILO INVISIBLE;UNICO NACIONAL;A
59112772;Gabriela Sofía;Chávez;Téllez;33;PARTIDO POLÍTICO EL HILO INVISIBLE;UNICO NACIONAL;A
99638281;Mónica Alejandra;Cárdenas;Palacios;34;PARTIDO POLÍTICO LA MELODÍA DEL CARIÑO;UNICO NACIONAL;A
97838941;Enrique Miguel;Navarro;Montes;34;PARTIDO POLÍTICO LA MELODÍA DEL CARIÑO;UNICO NACIONAL;A
82227948;Elisa Carmen;Velasco;Briones;35;PARTIDO POLÍTICO PENSANDO EN TI;UNICO NACIONAL;A
86084498;Magdalena Rosa;Castillo;Arellano;35;PARTIDO POLÍTICO PENSANDO EN TI;UNICO NACIONAL;A
80080673;Claudia Vanessa;Velasco;Guerrero;36;PARTIDO POLÍTICO EL ESPEJO DEL ALMA;UNICO NACIONAL;A
96202310;Jaime Eduardo;Ramos;Velázquez;36;PARTIDO POLÍTICO EL ESPEJO DEL ALMA;UNICO NACIONAL;A
25223283;Lorenzo Manuel;Valdez;Alvarado;37;PARTIDO POLÍTICO EL TEJIDO DE LA VIDA;UNICO NACIONAL;A
97004343;Angela María;Sandoval;Rangel;37;PARTIDO POLÍTICO EL TEJIDO DE LA VIDA;UNICO NACIONAL;A
83572468;Tomás Alberto;González;Zavala;38;PARTIDO POLÍTICO EL AROMA DE LA CONFIANZA;UNICO NACIONAL;A
97927343;Mónica Alejandra;Carrillo;Fernández;38;PARTIDO POLÍTICO EL AROMA DE LA CONFIANZA;UNICO NACIONAL;A
48109141;Amparo Luz;Vargas;Lozano;39;PARTIDO POLÍTICO EL SABOR DE LA LEALTAD;UNICO NACIONAL;A
41792101;Rosa Elena;Cabrera;Montero;39;PARTIDO POLÍTICO EL SABOR DE LA LEALTAD;UNICO NACIONAL;A
73259532;Hugo Alberto;Chávez;Lozano;01;PARTIDO POLÍTICO AMANECER DE NUEVO;UNICO NACIONAL;E
30418978;Norma Angélica;Torres;Rangel;01;PARTIDO POLÍTICO AMANECER DE NUEVO;UNICO NACIONAL;E
74070953;Julio César;Sánchez;Valencia;02;PARTIDO POLÍTICO PAZ Y AMOR;UNICO NACIONAL;E
89070888;Salvador Antonio;Aguilar;Parra;02;PARTIDO POLÍTICO PAZ Y AMOR;UNICO NACIONAL;E
86505587;Lorenzo Manuel;Cabrera;Muñoz;03;PARTIDO POLÍTICO GOTAS DE LLUVIA;UNICO NACIONAL;E
22171699;Carmen Rosa;Martínez;Escobar;03;PARTIDO POLÍTICO GOTAS DE LLUVIA;UNICO NACIONAL;E
57049375;Diana Carolina;Ramos;Velázquez;04;PARTIDO POLÍTICO LA MAGIA DEL ENCUENTRO;UNICO NACIONAL;E
90300592;Mariana Isabel;Vega;Salinas;04;PARTIDO POLÍTICO LA MAGIA DEL ENCUENTRO;UNICO NACIONAL;E
88685694;Sonia Patricia;Aguilar;Briones;05;PARTIDO POLÍTICO EN LA DISTANCIA;UNICO NACIONAL;E
46637763;Alberto Raúl;Gutiérrez;León;05;PARTIDO POLÍTICO EN LA DISTANCIA;UNICO NACIONAL;E
34070235;José Luis;Ramírez;Trujillo;06;PARTIDO POLÍTICO AL OTRO LADO;UNICO NACIONAL;E
34118499;Raúl Alberto;Sánchez;León;06;PARTIDO POLÍTICO AL OTRO LADO;UNICO NACIONAL;E
62038401;Gonzalo Alberto;Morales;Palacios;07;PARTIDO POLÍTICO EL TRABAJO DIGNIFICA;UNICO NACIONAL;E
67131950;Silvia Rocío;Sandoval;Arellano;07;PARTIDO POLÍTICO EL TRABAJO DIGNIFICA;UNICO NACIONAL;E
31500035;Norma Angélica;Zamora;Guzmán;08;PARTIDO POLÍTICO HOJAS AL VIENTO;UNICO NACIONAL;E
97761162;Fernando José;Molina;Arias;08;PARTIDO POLÍTICO HOJAS AL VIENTO;UNICO NACIONAL;E
21734789;Roxana Milagros;Figueroa;Rosales;09;PARTIDO POLÍTICO SEMBRANDO LA AMISTAD;UNICO NACIONAL;E
89734109;Juan Carlos;Valdez;Bustamante;09;PARTIDO POLÍTICO SEMBRANDO LA AMISTAD;UNICO NACIONAL;E
52048879;Francisco Javier;García;Arellano;10;PARTIDO POLÍTICO ESTAMOS EN ARMONÍA;UNICO NACIONAL;E
77042146;Gonzalo Alberto;Lara;Barrera;10;PARTIDO POLÍTICO ESTAMOS EN ARMONÍA;UNICO NACIONAL;E
56802790;Victoria Elena;Montes;Córdova;11;PARTIDO POLÍTICO ALCANZAR EL INFINITO;UNICO NACIONAL;E
36398781;Ricardo Manuel;Huerta;Gallardo;11;PARTIDO POLÍTICO ALCANZAR EL INFINITO;UNICO NACIONAL;E
36149853;Esteban José;Peña;Nava;12;PARTIDO POLÍTICO EL MEJOR AMIGO;UNICO NACIONAL;E
89540613;Pedro Pablo;Zamora;Galván;12;PARTIDO POLÍTICO EL MEJOR AMIGO;UNICO NACIONAL;E
99251208;Mercedes Beatriz;Martínez;Lozano;13;PARTIDO POLÍTICO PIENSA POSITIVAMENTE;UNICO NACIONAL;E
81140499;Sergio Antonio;Aguilar;Franco;13;PARTIDO POLÍTICO PIENSA POSITIVAMENTE;UNICO NACIONAL;E
78138471;Norma Angélica;Sánchez;Valdés;14;PARTIDO POLÍTICO LIDERANDO EL FUTURO;UNICO NACIONAL;E
85504751;María Elena;López;Miranda;14;PARTIDO POLÍTICO LIDERANDO EL FUTURO;UNICO NACIONAL;E
17414881;Miguel Ángel;Vargas;Arias;15;PARTIDO POLÍTICO NIÑOS PRIMERO;UNICO NACIONAL;E
12450153;Rosa Elena;Soto;Miranda;15;PARTIDO POLÍTICO NIÑOS PRIMERO;UNICO NACIONAL;E
65249631;Luis Fernando;Ríos;Molina;16;PARTIDO POLÍTICO FELICES POR SIEMPRE;UNICO NACIONAL;E
34475081;Gladys Pilar;Molina;Villalobos;16;PARTIDO POLÍTICO FELICES POR SIEMPRE;UNICO NACIONAL;E
34860330;Luz Marina;Herrera;Quintero;17;PARTIDO POLÍTICO SALVEMOS AL PLANETA;UNICO NACIONAL;E
69509632;Miguel Ángel;Ortiz;Bautista;17;PARTIDO POLÍTICO SALVEMOS AL PLANETA;UNICO NACIONAL;E
96077481;Cristina María;Contreras;Mejía;18;PARTIDO POLÍTICO LOS CAMPEONES;UNICO NACIONAL;E
55199443;Gloria Mercedes;Núñez;Vidal;18;PARTIDO POLÍTICO LOS CAMPEONES;UNICO NACIONAL;E
45165180;Gladys Pilar;Gómez;Robles;19;PARTIDO POLÍTICO ORDENANDO LA CASA;UNICO NACIONAL;E
70784015;María Elena;Ruiz;Burgos;19;PARTIDO POLÍTICO ORDENANDO LA CASA;UNICO NACIONAL;E
79571759;Carlos Alberto;Aguilar;Barrera;20;PARTIDO POLÍTICO COLECCIONISTA DE OBJETOS;UNICO NACIONAL;E
29081032;Ernesto José;Márquez;Villegas;20;PARTIDO POLÍTICO COLECCIONISTA DE OBJETOS;UNICO NACIONAL;E
42601410;Cecilia Beatriz;Montoya;Moreno;21;PARTIDO POLÍTICO OPTIMISMO TOTAL;UNICO NACIONAL;E
21515694;Miguel Ángel;Álvarez;Figueroa;21;PARTIDO POLÍTICO OPTIMISMO TOTAL;UNICO NACIONAL;E
20221175;Luis Fernando;Chávez;Villa;22;PARTIDO POLÍTICO BUEN VIAJE;UNICO NACIONAL;E
95323959;Pedro Pablo;Aguilar;Campos;22;PARTIDO POLÍTICO BUEN VIAJE;UNICO NACIONAL;E
82687656;Armando Luis;Valdez;Ochoa;23;PARTIDO POLÍTICO VISTA ALEGRE;UNICO NACIONAL;E
10153981;Marco Antonio;Guzmán;Velázquez;23;PARTIDO POLÍTICO VISTA ALEGRE;UNICO NACIONAL;E
38584042;Pedro Pablo;Ponce;Burgos;24;PARTIDO POLÍTICO EL MAPA DE LOS SUEÑOS;UNICO NACIONAL;E
78456285;Víctor Hugo;Morales;Cardona;24;PARTIDO POLÍTICO EL MAPA DE LOS SUEÑOS;UNICO NACIONAL;E
90861568;Enrique Miguel;Díaz;Arias;25;PARTIDO POLÍTICO EL VUELO DEL ESPÍRITU;UNICO NACIONAL;E
40259603;Alfredo José;López;Palacios;25;PARTIDO POLÍTICO EL VUELO DEL ESPÍRITU;UNICO NACIONAL;E
26265282;Angela María;Montoya;Rosales;26;PARTIDO POLÍTICO EL LENGUAJE DEL SILENCIO;UNICO NACIONAL;E
99243701;Miguel Ángel;Vargas;Arias;26;PARTIDO POLÍTICO EL LENGUAJE DEL SILENCIO;UNICO NACIONAL;E
15844888;Mercedes Beatriz;Montoya;Galván;27;PARTIDO POLÍTICO SUEÑOS COMPARTIDOS;UNICO NACIONAL;E
20459664;Nelly Victoria;Estrada;Briones;27;PARTIDO POLÍTICO SUEÑOS COMPARTIDOS;UNICO NACIONAL;E
55707351;Claudia Vanessa;Torres;Velázquez;28;PARTIDO POLÍTICO EL ABRAZO DE LA PAZ;UNICO NACIONAL;E
75482464;Gerardo Luis;Díaz;Montes;28;PARTIDO POLÍTICO EL ABRAZO DE LA PAZ;UNICO NACIONAL;E
73780506;Irma Rosa;Sandoval;Valdés;29;PARTIDO POLÍTICO TODO ESTARÁ BIEN;UNICO NACIONAL;E
71960124;Diana Carolina;Fernández;Vidal;29;PARTIDO POLÍTICO TODO ESTARÁ BIEN;UNICO NACIONAL;E
16031611;Ernesto José;Medina;Sierra;30;PARTIDO POLÍTICO UN SOLO LATIDO;UNICO NACIONAL;E
89640247;Alfredo José;Rivera;Segura;30;PARTIDO POLÍTICO UN SOLO LATIDO;UNICO NACIONAL;E
98647648;Pilar Mercedes;Navarro;Barrera;31;PARTIDO POLÍTICO EL PERDÓN ES DIVINO;UNICO NACIONAL;E
33294834;Beatriz Elena;Torres;Merino;31;PARTIDO POLÍTICO EL PERDÓN ES DIVINO;UNICO NACIONAL;E
19337824;Verónica Luz;Valdez;Escobar;32;PARTIDO POLÍTICO BRILLO DEL ALMA;UNICO NACIONAL;E
42199709;Alicia Rosa;Ponce;Vega;32;PARTIDO POLÍTICO BRILLO DEL ALMA;UNICO NACIONAL;E
76198431;Alfredo José;Luna;Delgado;33;PARTIDO POLÍTICO EL HILO INVISIBLE;UNICO NACIONAL;E
89685425;Susana Elena;Cabrera;Burgos;33;PARTIDO POLÍTICO EL HILO INVISIBLE;UNICO NACIONAL;E
50645034;Óscar Eduardo;Medina;Chávez;34;PARTIDO POLÍTICO LA MELODÍA DEL CARIÑO;UNICO NACIONAL;E
27539211;Enrique Miguel;Cruz;Vega;34;PARTIDO POLÍTICO LA MELODÍA DEL CARIÑO;UNICO NACIONAL;E
59044284;Claudia Vanessa;Guerrero;Ochoa;35;PARTIDO POLÍTICO PENSANDO EN TI;UNICO NACIONAL;E
98351550;Josefa María;Guerrero;Castro;35;PARTIDO POLÍTICO PENSANDO EN TI;UNICO NACIONAL;E
54847643;Diana Carolina;Vega;Santana;36;PARTIDO POLÍTICO EL ESPEJO DEL ALMA;UNICO NACIONAL;E
75880572;Magdalena Rosa;Luna;Valencia;36;PARTIDO POLÍTICO EL ESPEJO DEL ALMA;UNICO NACIONAL;E
83893706;Ernesto José;Jiménez;Palacios;37;PARTIDO POLÍTICO EL TEJIDO DE LA VIDA;UNICO NACIONAL;E
96004725;Liliana Patricia;Hernández;Valdés;37;PARTIDO POLÍTICO EL TEJIDO DE LA VIDA;UNICO NACIONAL;E
87321703;Martha Lucía;Paredes;Valencia;38;PARTIDO POLÍTICO EL AROMA DE LA CONFIANZA;UNICO NACIONAL;E
12072008;Mercedes Beatriz;Vega;Ibáñez;38;PARTIDO POLÍTICO EL AROMA DE LA CONFIANZA;UNICO NACIONAL;E
16712556;Pedro Pablo;Figueroa;Rosales;39;PARTIDO POLÍTICO EL SABOR DE LA LEALTAD;UNICO NACIONAL;E
10582667;Ignacio José;Montes;Valencia;39;PARTIDO POLÍTICO EL SABOR DE LA LEALTAD;UNICO NACIONAL;E
72243641;Luis Fernando;Romero;Delgado;01;PARTIDO POLÍTICO AMANECER DE NUEVO;UNICO NACIONAL;B
58218982;Mercedes Beatriz;Velasco;Villalobos;01;PARTIDO POLÍTICO AMANECER DE NUEVO;UNICO NACIONAL;B
78791527;Amparo Luz;Zamora;Santana;02;PARTIDO POLÍTICO PAZ Y AMOR;UNICO NACIONAL;B
11511011;Cristina María;Velasco;Villa;02;PARTIDO POLÍTICO PAZ Y AMOR;UNICO NACIONAL;B
60909710;Raúl Alberto;Cervantes;Galván;03;PARTIDO POLÍTICO GOTAS DE LLUVIA;UNICO NACIONAL;B
89975313;Joaquín Manuel;Cabrera;Rangel;03;PARTIDO POLÍTICO GOTAS DE LLUVIA;UNICO NACIONAL;B
23296921;Gladys Pilar;Estrada;Valencia;04;PARTIDO POLÍTICO LA MAGIA DEL ENCUENTRO;UNICO NACIONAL;B
20046535;Daniel Enrique;Rivera;Rosales;04;PARTIDO POLÍTICO LA MAGIA DEL ENCUENTRO;UNICO NACIONAL;B
25687916;Regina Patricia;Cervantes;Guerrero;05;PARTIDO POLÍTICO EN LA DISTANCIA;UNICO NACIONAL;B
58184849;Elisa Carmen;López;Fernández;05;PARTIDO POLÍTICO EN LA DISTANCIA;UNICO NACIONAL;B
48367951;Tomás Alberto;Ayala;Cisneros;06;PARTIDO POLÍTICO AL OTRO LADO;UNICO NACIONAL;B
78735584;Bertha Rosa;Mendoza;Velázquez;06;PARTIDO POLÍTICO AL OTRO LADO;UNICO NACIONAL;B
92060119;Carmen Rosa;Chávez;Paredes;07;PARTIDO POLÍTICO EL TRABAJO DIGNIFICA;UNICO NACIONAL;B
10073287;Sergio Antonio;Gutiérrez;Muñoz;07;PARTIDO POLÍTICO EL TRABAJO DIGNIFICA;UNICO NACIONAL;B
87009919;Daniel Enrique;Medina;Arias;08;PARTIDO POLÍTICO HOJAS AL VIENTO;UNICO NACIONAL;B
51087553;Hugo Alberto;Gómez;Durán;08;PARTIDO POLÍTICO HOJAS AL VIENTO;UNICO NACIONAL;B
35389930;Alberto Raúl;Álvarez;Molina;09;PARTIDO POLÍTICO SEMBRANDO LA AMISTAD;UNICO NACIONAL;B
54037483;Rodolfo César;Lara;Quintero;09;PARTIDO POLÍTICO SEMBRANDO LA AMISTAD;UNICO NACIONAL;B
79860267;Silvia Rocío;Chávez;Delgado;10;PARTIDO POLÍTICO ESTAMOS EN ARMONÍA;UNICO NACIONAL;B
54634662;Rubén Darío;Ochoa;Merino;10;PARTIDO POLÍTICO ESTAMOS EN ARMONÍA;UNICO NACIONAL;B
98435150;Mauricio Andrés;Contreras;Vega;11;PARTIDO POLÍTICO ALCANZAR EL INFINITO;UNICO NACIONAL;B
80801521;José Luis;Mendoza;Villa;11;PARTIDO POLÍTICO ALCANZAR EL INFINITO;UNICO NACIONAL;B
93810966;Ana Patricia;Paredes;Alvarado;12;PARTIDO POLÍTICO EL MEJOR AMIGO;UNICO NACIONAL;B
60836150;Julio César;López;Carrasco;12;PARTIDO POLÍTICO EL MEJOR AMIGO;UNICO NACIONAL;B
75217173;Lucía Isabel;Miranda;Valencia;13;PARTIDO POLÍTICO PIENSA POSITIVAMENTE;UNICO NACIONAL;B
99501274;Armando Luis;Ríos;Castro;13;PARTIDO POLÍTICO PIENSA POSITIVAMENTE;UNICO NACIONAL;B
83458075;Omar Alejandro;Rodríguez;Miranda;14;PARTIDO POLÍTICO LIDERANDO EL FUTURO;UNICO NACIONAL;B
97473995;Benjamín Luis;González;Mora;14;PARTIDO POLÍTICO LIDERANDO EL FUTURO;UNICO NACIONAL;B
83764027;Nelly Victoria;Luna;Galván;15;PARTIDO POLÍTICO NIÑOS PRIMERO;UNICO NACIONAL;B
99934091;Gonzalo Alberto;Reyes;Navarro;15;PARTIDO POLÍTICO NIÑOS PRIMERO;UNICO NACIONAL;B
61111961;Elena Isabel;Solís;Salinas;16;PARTIDO POLÍTICO FELICES POR SIEMPRE;UNICO NACIONAL;B
69395802;Gerardo Luis;Pérez;Suárez;16;PARTIDO POLÍTICO FELICES POR SIEMPRE;UNICO NACIONAL;B
53019387;Bertha Rosa;Núñez;Valencia;17;PARTIDO POLÍTICO SALVEMOS AL PLANETA;UNICO NACIONAL;B
67746632;Rosa María;Gallegos;Castro;17;PARTIDO POLÍTICO SALVEMOS AL PLANETA;UNICO NACIONAL;B
25244241;Ernesto José;Carrillo;Campos;18;PARTIDO POLÍTICO LOS CAMPEONES;UNICO NACIONAL;B
45969333;José Luis;Rojas;Arellano;18;PARTIDO POLÍTICO LOS CAMPEONES;UNICO NACIONAL;B
66962236;Omar Alejandro;Ramos;Ochoa;19;PARTIDO POLÍTICO ORDENANDO LA CASA;UNICO NACIONAL;B
49871538;Esteban José;Aguilar;Serrano;19;PARTIDO POLÍTICO ORDENANDO LA CASA;UNICO NACIONAL;B
46055942;Sonia Patricia;Domínguez;Merino;20;PARTIDO POLÍTICO COLECCIONISTA DE OBJETOS;UNICO NACIONAL;B
78073988;Omar Alejandro;Silva;Fernández;20;PARTIDO POLÍTICO COLECCIONISTA DE OBJETOS;UNICO NACIONAL;B
88936828;Ana Patricia;Fernández;Barrera;21;PARTIDO POLÍTICO OPTIMISMO TOTAL;UNICO NACIONAL;B
29007993;Josefa María;Fernández;Miranda;21;PARTIDO POLÍTICO OPTIMISMO TOTAL;UNICO NACIONAL;B
12017128;Ismael Roberto;Sandoval;Barrera;22;PARTIDO POLÍTICO BUEN VIAJE;UNICO NACIONAL;B
31426452;Hugo Alberto;Peña;Mercado;22;PARTIDO POLÍTICO BUEN VIAJE;UNICO NACIONAL;B
16200978;Mariana Isabel;Vásquez;Quintero;23;PARTIDO POLÍTICO VISTA ALEGRE;UNICO NACIONAL;B
92295074;Luis Fernando;Ríos;Velázquez;23;PARTIDO POLÍTICO VISTA ALEGRE;UNICO NACIONAL;B
31380432;Roberto Carlos;Cabrera;Padilla;24;PARTIDO POLÍTICO EL MAPA DE LOS SUEÑOS;UNICO NACIONAL;B
76689654;Raúl Alberto;Fernández;Merino;24;PARTIDO POLÍTICO EL MAPA DE LOS SUEÑOS;UNICO NACIONAL;B
80468308;Lidia Mercedes;González;Calderón;25;PARTIDO POLÍTICO EL VUELO DEL ESPÍRITU;UNICO NACIONAL;B
93371456;Rubén Darío;Herrera;Vidal;25;PARTIDO POLÍTICO EL VUELO DEL ESPÍRITU;UNICO NACIONAL;B
51447665;Carmen Rosa;Castillo;Bautista;26;PARTIDO POLÍTICO EL LENGUAJE DEL SILENCIO;UNICO NACIONAL;B
21072616;Jaime Eduardo;Cruz;Parra;26;PARTIDO POLÍTICO EL LENGUAJE DEL SILENCIO;UNICO NACIONAL;B
25325675;Claudia Vanessa;González;Lozano;27;PARTIDO POLÍTICO SUEÑOS COMPARTIDOS;UNICO NACIONAL;B
36971664;Sergio Antonio;Guerrero;Quintero;27;PARTIDO POLÍTICO SUEÑOS COMPARTIDOS;UNICO NACIONAL;B
88899188;Héctor Manuel;Huerta;Gallardo;28;PARTIDO POLÍTICO EL ABRAZO DE LA PAZ;UNICO NACIONAL;B
75701580;Samuel Antonio;Mendoza;Arellano;28;PARTIDO POLÍTICO EL ABRAZO DE LA PAZ;UNICO NACIONAL;B
92637166;Alberto Raúl;González;Trujillo;29;PARTIDO POLÍTICO TODO ESTARÁ BIEN;UNICO NACIONAL;B
